Episode: 1 | Desired Rewards: 0.13 | Mean_100_Rewards: -80.98 | Loss: 1.39 | ewma_T: 85 | ewma_G: -47.81length of rollout buffer: 4040
Episode: 2 | Desired Rewards: -5.37 | Mean_100_Rewards: -164.85 | Loss: 1.39 | ewma_T: 89 | ewma_G: -62.86length of rollout buffer: 4105
Episode: 3 | Desired Rewards: -10.60 | Mean_100_Rewards: -169.31 | Loss: 1.39 | ewma_T: 93 | ewma_G: -48.58length of rollout buffer: 4094
Episode: 4 | Desired Rewards: -10.57 | Mean_100_Rewards: -228.21 | Loss: 1.39 | ewma_T: 95 | ewma_G: -57.25length of rollout buffer: 4006
Episode: 5 | Desired Rewards: -24.73 | Mean_100_Rewards: -235.99 | Loss: 1.38 | ewma_T: 95 | ewma_G: -51.95length of rollout buffer: 4105
Episode: 6 | Desired Rewards: -24.19 | Mean_100_Rewards: -217.41 | Loss: 1.38 | ewma_T: 95 | ewma_G: -42.37length of rollout buffer: 4063
Episode: 7 | Desired Rewards: -24.17 | Mean_100_Rewards: -195.75 | Loss: 1.38 | ewma_T: 89 | ewma_G: -49.75length of rollout buffer: 4007
Episode: 8 | Desired Rewards: -31.87 | Mean_100_Rewards: -182.98 | Loss: 1.38 | ewma_T: 97 | ewma_G: -47.73length of rollout buffer: 4019
Episode: 9 | Desired Rewards: -10.56 | Mean_100_Rewards: -175.33 | Loss: 1.38 | ewma_T: 92 | ewma_G: -41.88length of rollout buffer: 4060
Episode: 10 | Desired Rewards: -26.87 | Mean_100_Rewards: -182.85 | Loss: 1.38 | ewma_T: 98 | ewma_G: -32.55length of rollout buffer: 4021
Episode: 11 | Desired Rewards: -13.07 | Mean_100_Rewards: -174.89 | Loss: 1.38 | ewma_T: 96 | ewma_G: -30.05length of rollout buffer: 4083
Episode: 12 | Desired Rewards: -22.66 | Mean_100_Rewards: -173.42 | Loss: 1.38 | ewma_T: 96 | ewma_G: -30.18length of rollout buffer: 4095
Episode: 13 | Desired Rewards: -20.67 | Mean_100_Rewards: -164.23 | Loss: 1.38 | ewma_T: 98 | ewma_G: -34.19length of rollout buffer: 4048
Episode: 14 | Desired Rewards: -15.55 | Mean_100_Rewards: -159.89 | Loss: 1.38 | ewma_T: 97 | ewma_G: -34.44length of rollout buffer: 4061
Episode: 15 | Desired Rewards: -22.26 | Mean_100_Rewards: -156.66 | Loss: 1.38 | ewma_T: 94 | ewma_G: -30.51length of rollout buffer: 4009
Episode: 16 | Desired Rewards: -24.24 | Mean_100_Rewards: -154.99 | Loss: 1.38 | ewma_T: 93 | ewma_G: -29.18length of rollout buffer: 4069
Episode: 17 | Desired Rewards: -17.28 | Mean_100_Rewards: -149.19 | Loss: 1.38 | ewma_T: 98 | ewma_G: -30.01length of rollout buffer: 4022
Episode: 18 | Desired Rewards: -45.02 | Mean_100_Rewards: -151.59 | Loss: 1.38 | ewma_T: 93 | ewma_G: -34.07length of rollout buffer: 4033
Episode: 19 | Desired Rewards: -22.36 | Mean_100_Rewards: -148.19 | Loss: 1.38 | ewma_T: 94 | ewma_G: -31.47length of rollout buffer: 4066
Episode: 20 | Desired Rewards: -53.10 | Mean_100_Rewards: -151.80 | Loss: 1.38 | ewma_T: 95 | ewma_G: -34.97length of rollout buffer: 4081
Episode: 21 | Desired Rewards: -24.27 | Mean_100_Rewards: -150.37 | Loss: 1.38 | ewma_T: 93 | ewma_G: -33.23length of rollout buffer: 4053
Episode: 22 | Desired Rewards: -14.11 | Mean_100_Rewards: -146.93 | Loss: 1.37 | ewma_T: 94 | ewma_G: -33.49length of rollout buffer: 4063
Episode: 23 | Desired Rewards: -24.17 | Mean_100_Rewards: -146.80 | Loss: 1.38 | ewma_T: 91 | ewma_G: -30.84length of rollout buffer: 4045
Episode: 24 | Desired Rewards: -18.28 | Mean_100_Rewards: -153.10 | Loss: 1.38 | ewma_T: 92 | ewma_G: -34.63length of rollout buffer: 4055
